id_casa,LotFrontage,LotArea,Street,Condition1,Condition2,YearBuilt,ExterQual,FullBath,BedroomAbvGr,SalePrice,Color,email_info
707,48.0,6240,Pave,Norm,Norm,2006.0,Gd,2,,254000,,rrpnckctqj@hotmail.com
952,60.0,7200,Pave,Norm,Norm,1972.0,TA,1,2.0,133900,,wkpnjrrk@yahoo.com.br
503,100.0,15602,Pave,Norm,Norm,1959.0,TA,2,1.0,289000,,uuksmwtrp@icloud.com
658,78.0,17503,Pave,Artery,Norm,1948.0,TA,1,3.0,97500,,tdohsjlt@yahoo.com.br
770,,7252,Pave,Norm,Norm,1982.0,TA,1,2.0,134900,,yyabbpcam@icloud.com
258,80.0,12435,Pave,Norm,Norm,2001.0,Gd,2,3.0,231500,,ntclqoppwpj@gmail.com
323,49.0,5820,Pave,Norm,Norm,1955.0,TA,1,3.0,126175,,autvogpoj@icloud.com
562,63.0,13907,Pave,Norm,Norm,1940.0,TA,1,3.0,108000,,fuf@yahoo.com.br
782,67.0,16285,Pave,Norm,Norm,2001.0,Gd,2,3.0,187100,,pg@hotmail.com
1029,21.0,1680,Pave,Norm,Norm,1972.0,TA,1,,118000,,cyjno@yahoo.com.br
60,63.0,13072,Pave,RRAe,Norm,2004.0,TA,1,3.0,158000,,tcn@icloud.com
1317,47.0,4230,Pave,Norm,Norm,2006.0,Gd,2,2.0,208900,,kqbsujgtlb@yahoo.com.br
954,35.0,9400,Pave,Norm,Norm,1975.0,TA,2,4.0,127500,,htmduzify@gmail.com
553,67.0,8777,Pave,Feedr,Norm,1949.0,TA,2,2.0,108000,,qlgfsbutmv@icloud.com
928,,11838,Pave,Norm,Norm,2001.0,Gd,2,3.0,236500,,stbqybewmsv@hotmail.com
1310,100.0,17500,,PosA,Norm,1959.0,Gd,2,3.0,335000,,iaodw@yahoo.com.br
384,,53107,Pave,Feedr,Norm,1992.0,Gd,2,3.0,240000,,vrtjsce@icloud.com
693,60.0,5400,Pave,Norm,Norm,1921.0,TA,1,2.0,108480,,wyg@yahoo.com.br
298,90.0,11700,Pave,Norm,Norm,1968.0,Gd,1,3.0,175000,,gdgbmgdgwjv@icloud.com
599,24.0,1950,Pave,Norm,Norm,,TA,2,3.0,151000,,ehhipveeppjc@yahoo.com.br
516,,10448,Pave,Norm,Norm,1972.0,TA,2,3.0,158000,,sgamiimfh@icloud.com
757,,11616,,Norm,Norm,1978.0,TA,2,3.0,158900,,pvhae@hotmail.com
162,95.0,12182,Pave,Norm,Norm,2005.0,Gd,2,3.0,220000,,ooux@icloud.com
599,24.0,1950,Pave,Norm,Norm,,TA,2,3.0,151000,,ehhipveeppjc@yahoo.com.br
1063,50.0,6000,Pave,Artery,Norm,1925.0,TA,1,2.0,110500,,rpxx@yahoo.com.br
1099,82.0,11880,Pave,RRAn,Norm,1978.0,TA,2,3.0,157000,,zarn@gmail.com
1200,71.0,9353,Pave,Norm,Norm,1970.0,TA,1,3.0,116050,,uqlgx@icloud.com
484,,7758,Pave,Norm,Norm,1962.0,TA,1,3.0,132500,,uxdinfzz@yahoo.com.br
527,67.0,14948,Pave,Norm,Norm,2008.0,Ex,2,3.0,446261,,ulafxqqi@gmail.com
768,70.0,9100,Pave,Norm,Norm,2004.0,Gd,2,3.0,216837,,gxcozefy@gmail.com
171,141.0,31770,Pave,Norm,Norm,1960.0,TA,1,3.0,215000,,bum@yahoo.com.br
488,60.0,10800,Pave,Norm,Norm,1900.0,TA,2,3.0,160000,,edxzwnz@hotmail.com
393,,7446,Pave,Feedr,Norm,1941.0,TA,1,2.0,100000,,czquh@icloud.com
588,65.0,25095,Pave,Norm,Norm,1968.0,TA,1,1.0,143000,,cckpgzzuxweo@yahoo.com.br
1020,60.0,7024,Pave,Norm,Norm,2005.0,TA,1,2.0,176000,,lnzenhx@gmail.com
767,75.0,12508,Pave,Norm,Norm,1940.0,TA,2,4.0,160000,,gvdgfpflxim@icloud.com
13,91.0,10652,Pave,Norm,Norm,2006.0,Gd,2,3.0,279500,,ohkz@yahoo.com.br
1334,24.0,2368,Pave,Norm,Norm,1970.0,TA,1,3.0,125000,,ecgptkmq@icloud.com
249,,159000,Pave,Norm,Norm,1958.0,Gd,2,4.0,277000,,efsyzm@hotmail.com
2,68.0,11250,Pave,Norm,Norm,2001.0,Gd,2,3.0,223500,,rlskriykwzw@hotmail.com
21,57.0,7449,Pave,Norm,Norm,1930.0,TA,1,3.0,139400,,stipmc@gmail.com
1249,60.0,7200,Pave,Norm,Norm,1950.0,TA,1,3.0,119000,,icqvoo@yahoo.com.br
1323,50.0,5330,Pave,Norm,Norm,1940.0,Fa,1,2.0,82500,,vfja@hotmail.com
130,88.0,14200,Pave,Norm,Norm,1966.0,TA,2,4.0,226000,,oddqsfaqaw@gmail.com
1027,71.0,9520,Pave,Norm,Norm,2007.0,Gd,2,3.0,293077,,fxmhnwfwka@yahoo.com.br
352,60.0,9084,Pave,Artery,Norm,1941.0,TA,1,3.0,95000,,nknjgg@icloud.com
1378,21.0,1953,Pave,Norm,Norm,1973.0,TA,1,2.0,83000,,jjjx@hotmail.com
399,65.0,8125,Pave,Norm,Norm,2006.0,Gd,2,2.0,241000,,rak@yahoo.com.br
1045,,13680,Pave,Norm,Norm,1955.0,TA,2,4.0,139600,,hnrloxffpspi@yahoo.com.br
118,90.0,12376,Pave,Norm,Norm,1990.0,TA,3,5.0,320000,,pwztxesak@gmail.com
1078,37.0,4435,Pave,Norm,Norm,2004.0,Gd,1,1.0,155900,,ijmhypx@icloud.com
1414,64.0,13053,Pave,Norm,Norm,1923.0,TA,1,4.0,207000,,jjzibva@yahoo.com.br
1423,,19690,Pave,Norm,Norm,1966.0,Gd,2,4.0,274970,,orxxje@icloud.com
